Solution via 4th Order Runge-Kutta Method.
t_inicial = 0, total steps = 1000, t_final = 50
Stept X Y Z
0 0 0 0.5 0.5
1 0.05 0.191692 0.477893 0.440022
2 0.1 0.300387 0.460577 0.390633
3 0.15 0.360323 0.446769 0.34896
4 0.2 0.39183 0.435485 0.313205
5 0.25 0.406921 0.426023 0.282182
6 0.3 0.412656 0.417892 0.255062
7 0.35 0.413161 0.410757 0.231235
8 0.4 0.410831 0.404385 0.210232
9 0.45 0.407045 0.398612 0.191674
10 0.5 0.402584 0.393323 0.175249
11 0.55 0.397886 0.388433 0.160694
12 0.6 0.393185 0.383877 0.147783
13 0.65 0.388604 0.379607 0.136318
14 0.7 0.384199 0.375582 0.12613
15 0.75 0.37999 0.371771 0.117067
16 0.8 0.375978 0.368147 0.108997
17 0.85 0.372155 0.364689 0.101806
18 0.9 0.368508 0.361378 0.0953894
19 0.95 0.365021 0.358197 0.0896575
20 1 0.361679 0.355133 0.0845307
21 1.05 0.35847 0.352174 0.0799385
22 1.1 0.355379 0.349309 0.0758187
23 1.15 0.352396 0.34653 0.0721167
24 1.2 0.34951 0.343828 0.0687841
25 1.25 0.346711 0.341197 0.0657781
26 1.3 0.343993 0.33863 0.0630612
27 1.35 0.341346 0.336122 0.0606
28 1.4 0.338766 0.333669 0.0583654
29 1.45 0.336247 0.331266 0.0563314
30 1.5 0.333784 0.328909 0.0544753
31 1.55 0.331371 0.326596 0.0527769
32 1.6 0.329007 0.324323 0.0512184
33 1.65 0.326687 0.322088 0.0497842
34 1.7 0.324408 0.319889 0.0484605
35 1.75 0.322167 0.317723 0.047235
36 1.8 0.319963 0.31559 0.0460971
37 1.85 0.317793 0.313486 0.0450372
38 1.9 0.315655 0.311411 0.0440469
39 1.95 0.313548 0.309363 0.0431189
40 2 0.31147 0.307341 0.0422465
41 2.05 0.309419 0.305345 0.0414241
42 2.1 0.307395 0.303373 0.0406465
43 2.15 0.305396 0.301423 0.0399091
44 2.2 0.303422 0.299497 0.0392081
45 2.25 0.301471 0.297592 0.0385399
46 2.3 0.299543 0.295708 0.0379014
47 2.35 0.297636 0.293844 0.0372897
48 2.4 0.295751 0.292001 0.0367025
49 2.45 0.293886 0.290176 0.0361376
50 2.5 0.292041 0.288371 0.0355931
51 2.55 0.290215 0.286583 0.0350672
52 2.6 0.288409 0.284814 0.0345585
53 2.65 0.28662 0.283062 0.0340655
54 2.7 0.28485 0.281327 0.0335871
55 2.75 0.283097 0.279609 0.0331222
56 2.8 0.281361 0.277907 0.0326698
57 2.85 0.279643 0.276221 0.0322292
58 2.9 0.27794 0.274551 0.0317995
59 2.95 0.276254 0.272897 0.03138
60 3 0.274583 0.271257 0.0309701
61 3.05 0.272928 0.269633 0.0305694
62 3.1 0.271288 0.268023 0.0301772
63 3.15 0.269663 0.266428 0.0297931
64 3.2 0.268053 0.264847 0.0294168
65 3.25 0.266457 0.263279 0.0290478
66 3.3 0.264875 0.261726 0.0286859
67 3.35 0.263307 0.260186 0.0283306
68 3.4 0.261753 0.258659 0.0279818
69 3.45 0.260213 0.257145 0.0276392
70 3.5 0.258686 0.255644 0.0273025
71 3.55 0.257171 0.254156 0.0269716
72 3.6 0.25567 0.25268 0.0266462
73 3.65 0.254182 0.251217 0.0263262
74 3.7 0.252706 0.249766 0.0260113
75 3.75 0.251242 0.248327 0.0257015
76 3.8 0.24979 0.246899 0.0253965
77 3.85 0.248351 0.245483 0.0250963
78 3.9 0.246923 0.244079 0.0248007
79 3.95 0.245507 0.242686 0.0245096
80 4 0.244102 0.241304 0.0242229
81 4.05 0.242709 0.239933 0.0239404
82 4.1 0.241327 0.238574 0.0236621
83 4.15 0.239956 0.237224 0.0233879
84 4.2 0.238595 0.235886 0.0231177
85 4.25 0.237246 0.234558 0.0228513
86 4.3 0.235907 0.23324 0.0225888
87 4.35 0.234579 0.231933 0.0223299
88 4.4 0.233261 0.230635 0.0220747
89 4.45 0.231953 0.229348 0.0218231
90 4.5 0.230655 0.22807 0.021575
91 4.55 0.229368 0.226802 0.0213303
92 4.6 0.22809 0.225543 0.021089
93 4.65 0.226821 0.224295 0.020851
94 4.7 0.225563 0.223055 0.0206162
95 4.75 0.224314 0.221825 0.0203846
96 4.8 0.223074 0.220603 0.0201561
97 4.85 0.221843 0.219391 0.0199307
98 4.9 0.220622 0.218188 0.0197083
99 4.95 0.219409 0.216994 0.0194888
100 5 0.218206 0.215808 0.0192723
101 5.05 0.217011 0.214631 0.0190586
102 5.1 0.215825 0.213462 0.0188477
103 5.15 0.214648 0.212302 0.0186396
104 5.2 0.213479 0.21115 0.0184342
105 5.25 0.212319 0.210007 0.0182314
106 5.3 0.211167 0.208871 0.0180313
107 5.35 0.210023 0.207744 0.0178337
108 5.4 0.208887 0.206624 0.0176387
109 5.45 0.20776 0.205513 0.0174462
110 5.5 0.20664 0.204409 0.0172561
111 5.55 0.205528 0.203313 0.0170684
112 5.6 0.204424 0.202224 0.0168832
113 5.65 0.203328 0.201143 0.0167002
114 5.7 0.20224 0.20007 0.0165196
115 5.75 0.201159 0.199004 0.0163412
116 5.8 0.200085 0.197945 0.016165
117 5.85 0.199019 0.196893 0.0159911
118 5.9 0.19796 0.195849 0.0158193
119 5.95 0.196908 0.194812 0.0156496
120 6 0.195863 0.193781 0.015482
121 6.05 0.194826 0.192758 0.0153165
122 6.1 0.193796 0.191742 0.0151531
123 6.15 0.192772 0.190732 0.0149916
124 6.2 0.191755 0.189729 0.0148321
125 6.25 0.190745 0.188732 0.0146745
126 6.3 0.189742 0.187743 0.0145188
127 6.35 0.188746 0.18676 0.0143651
