Solucao analitica.
Iteration x T
0 -2 0.959555
1 -1.98 0.962488
2 -1.96 0.965308
3 -1.94 0.968012
4 -1.92 0.970601
5 -1.9 0.973073
6 -1.88 0.975429
7 -1.86 0.977668
8 -1.84 0.979789
9 -1.82 0.981792
10 -1.8 0.983675
11 -1.78 0.985439
12 -1.76 0.987084
13 -1.74 0.988608
14 -1.72 0.990012
15 -1.7 0.991295
16 -1.68 0.992456
17 -1.66 0.993497
18 -1.64 0.994415
19 -1.62 0.995211
20 -1.6 0.995885
21 -1.58 0.996437
22 -1.56 0.996867
23 -1.54 0.997173
24 -1.52 0.997358
25 -1.5 0.997419
26 -1.48 0.997358
27 -1.46 0.997173
28 -1.44 0.996867
29 -1.42 0.996437
30 -1.4 0.995885
31 -1.38 0.995211
32 -1.36 0.994415
33 -1.34 0.993497
34 -1.32 0.992456
35 -1.3 0.991295
36 -1.28 0.990012
37 -1.26 0.988608
38 -1.24 0.987084
39 -1.22 0.985439
40 -1.2 0.983675
41 -1.18 0.981792
42 -1.16 0.979789
43 -1.14 0.977668
44 -1.12 0.975429
45 -1.1 0.973073
46 -1.08 0.970601
47 -1.06 0.968012
48 -1.04 0.965308
49 -1.02 0.962488
50 -1 0.959555
51 -0.98 0.956508
52 -0.96 0.953349
53 -0.94 0.950078
54 -0.92 0.946696
55 -0.9 0.943203
56 -0.88 0.939602
57 -0.86 0.935891
58 -0.84 0.932074
59 -0.82 0.928149
60 -0.8 0.924119
61 -0.78 0.919985
62 -0.76 0.915746
63 -0.74 0.911405
64 -0.72 0.906963
65 -0.7 0.90242
66 -0.68 0.897778
67 -0.66 0.893038
68 -0.64 0.888201
69 -0.62 0.883268
70 -0.6 0.87824
71 -0.58 0.873119
72 -0.56 0.867906
73 -0.54 0.862603
74 -0.52 0.85721
75 -0.5 0.851728
76 -0.48 0.84616
77 -0.46 0.840507
78 -0.44 0.834769
79 -0.42 0.828949
80 -0.4 0.823048
81 -0.38 0.817067
82 -0.36 0.811007
83 -0.34 0.804872
84 -0.32 0.79866
85 -0.3 0.792375
86 -0.28 0.786018
87 -0.26 0.779591
88 -0.24 0.773094
89 -0.22 0.76653
90 -0.2 0.759901
91 -0.18 0.753207
92 -0.16 0.74645
93 -0.14 0.739633
94 -0.12 0.732757
95 -0.1 0.725823
96 -0.08 0.718834
97 -0.06 0.711791
98 -0.04 0.704695
99 -0.02 0.697549
100 1.50574e-15 0.690354
101 0.02 0.683112
102 0.04 0.675825
103 0.06 0.668495
104 0.08 0.661123
105 0.1 0.653711
106 0.12 0.646261
107 0.14 0.638775
108 0.16 0.631255
109 0.18 0.623703
110 0.2 0.61612
111 0.22 0.608509
112 0.24 0.60087
113 0.26 0.593207
114 0.28 0.585521
115 0.3 0.577813
116 0.32 0.570087
117 0.34 0.562343
118 0.36 0.554584
119 0.38 0.546811
120 0.4 0.539027
121 0.42 0.531233
122 0.44 0.523432
123 0.46 0.515624
124 0.48 0.507813
125 0.5 0.5
126 0.52 0.492187
127 0.54 0.484376
128 0.56 0.476568
129 0.58 0.468767
130 0.6 0.460973
131 0.62 0.453189
132 0.64 0.445416
133 0.66 0.437657
134 0.68 0.429913
135 0.7 0.422187
136 0.72 0.414479
137 0.74 0.406793
138 0.76 0.39913
139 0.78 0.391491
140 0.8 0.38388
141 0.82 0.376297
142 0.84 0.368745
143 0.86 0.361225
144 0.88 0.353739
145 0.9 0.346289
146 0.92 0.338877
147 0.94 0.331505
148 0.96 0.324175
149 0.98 0.316888
150 1 0.309646
151 1.02 0.302451
152 1.04 0.295305
153 1.06 0.288209
154 1.08 0.281166
155 1.1 0.274177
156 1.12 0.267243
157 1.14 0.260367
158 1.16 0.25355
159 1.18 0.246793
160 1.2 0.240099
161 1.22 0.23347
162 1.24 0.226906
163 1.26 0.220409
164 1.28 0.213982
165 1.3 0.207625
166 1.32 0.20134
167 1.34 0.195128
168 1.36 0.188993
169 1.38 0.182933
170 1.4 0.176952
171 1.42 0.171051
172 1.44 0.165231
173 1.46 0.159493
174 1.48 0.15384
175 1.5 0.148272
176 1.52 0.14279
177 1.54 0.137397
178 1.56 0.132094
179 1.58 0.126881
180 1.6 0.12176
181 1.62 0.116732
182 1.64 0.111799
183 1.66 0.106962
184 1.68 0.102222
185 1.7 0.0975797
186 1.72 0.0930369
187 1.74 0.0885945
188 1.76 0.0842536
189 1.78 0.0800154
190 1.8 0.0758807
191 1.82 0.0718507
192 1.84 0.0679263
193 1.86 0.0641085
194 1.88 0.0603983
195 1.9 0.0567965
196 1.92 0.0533041
197 1.94 0.049922
198 1.96 0.0466508
199 1.98 0.0434915
